state,district,year,chloride,sdp,predicted_chloride,error
Andhra Pradesh,Kurnool,2004,260.58823,215455.8737901584,182.38465755764278,78.20357244235723
Andhra Pradesh,Sri Potti Sriramulu Nellore,2012,225.0,341335.0,191.53304352972322,33.466956470276784
Andhra Pradesh,Sri Potti Sriramulu Nellore,2013,219.49025,360239.0,192.90690982212115,26.583340177878853
Andhra Pradesh,Sri Potti Sriramulu Nellore,2014,282.00168,397064.0,195.58320194112,86.41847805888003
Andhra Pradesh,Vizianagaram,2018,161.4359,558862.0,207.3420264426754,-45.9061264426754
Andhra Pradesh,Guntur,2004,386.23334,215455.8737901584,182.38465755764278,203.84868244235722
Andhra Pradesh,Srikakulam,2018,213.71428,558862.0,207.3420264426754,6.372253557324598
Andhra Pradesh,Guntur,2006,463.1282,251348.62002359648,184.99319724192728,278.1350027580727
Andhra Pradesh,Guntur,2005,482.27777,227457.9878258872,183.2569226820188,299.0208473179812
Arunachal Pradesh,East Siang,2015,63.333332,12889.0,167.6629161348366,-104.3295841348366
Arunachal Pradesh,East Siang,2014,46.333336,13082.0,167.67694259455058,-121.34360659455058
Arunachal Pradesh,Tirap,2018,31.905001,14897.0,167.8088494566275,-135.90384845662751
Arunachal Pradesh,Lohit,2015,27.99,12889.0,167.6629161348366,-139.67291613483658
Arunachal Pradesh,Lohit,2016,11.042675,13396.0,167.69976284506967,-156.65708784506967
Arunachal Pradesh,Papum Pare,2017,35.450001,13923.0,167.73806307444406,-132.28806207444404
Arunachal Pradesh,Papum Pare,2018,19.31785,14897.0,167.8088494566275,-148.49099945662752
Arunachal Pradesh,Papum Pare,2016,13.330664,13396.0,167.69976284506967,-154.36909884506966
Arunachal Pradesh,Papum Pare,2015,17.266666,12889.0,167.6629161348366,-150.39625013483658
Arunachal Pradesh,Papum Pare,2014,71.800003,13082.0,167.67694259455058,-95.87693959455058
Arunachal Pradesh,East Siang,2016,23.749031,13396.0,167.69976284506967,-143.95073184506967
Arunachal Pradesh,East Siang,2018,37.222504,14897.0,167.8088494566275,-130.5863454566275
Arunachal Pradesh,Tirap,2016,19.544069,13396.0,167.69976284506967,-148.15569384506966
Arunachal Pradesh,Changlang,2018,31.905001,14897.0,167.8088494566275,-135.90384845662751
Arunachal Pradesh,Tirap,2015,39.32,12889.0,167.6629161348366,-128.3429161348366
Arunachal Pradesh,Changlang,2015,42.233334,12889.0,167.6629161348366,-125.4295821348366
Arunachal Pradesh,Changlang,2016,19.171009,13396.0,167.69976284506967,-148.52875384506967
Arunachal Pradesh,Lower Subansiri,2016,29.9907,13396.0,167.69976284506967,-137.70906284506967
Arunachal Pradesh,Lohit,2018,17.725,14897.0,167.8088494566275,-150.08384945662752
Arunachal Pradesh,Tirap,2017,20.088333,13923.0,167.73806307444406,-147.64973007444405
Assam,Sonitpur,2015,53.627274,167629.0,178.90879373141183,-125.28151973141183
Assam,Sonitpur,2016,27.855316,179632.0,179.7811232440892,-151.9258072440892
Assam,Baksa,2018,28.360001,204627.0,181.59765879098333,-153.23765779098332
Assam,Baksa,2016,23.633295,179632.0,179.7811232440892,-156.1478282440892
Assam,Baksa,2015,65.0,167629.0,178.90879373141183,-113.90879373141183
Assam,Baksa,2014,25.849998,146425.0,177.3677727377594,-151.5177747377594
Assam,Sonitpur,2017,52.358463,195262.0,180.9170484530492,-128.5585854530492
Assam,Sonitpur,2018,38.108749,204627.0,181.59765879098333,-143.4889097909833
Assam,Sonitpur,2014,68.711113,146425.0,177.3677727377594,-108.6566597377594
Assam,Goalpara,2016,23.966352,179632.0,179.7811232440892,-155.8147712440892
Assam,Hailakandi,2016,32.495934,179632.0,179.7811232440892,-147.2851892440892
Assam,Goalpara,2018,35.006874,204627.0,181.59765879098333,-146.59078479098332
Assam,Goalpara,2015,33.916668,167629.0,178.90879373141183,-144.99212573141182
Assam,Goalpara,2014,38.257145,146425.0,177.3677727377594,-139.1106277377594
Assam,Lakhimpur,2014,34.530769,146425.0,177.3677727377594,-142.8370037377594
Assam,Golaghat,2014,63.5,146425.0,177.3677727377594,-113.8677727377594
Assam,Golaghat,2015,56.400002,167629.0,178.90879373141183,-122.50879173141183
Assam,Golaghat,2016,40.636467,179632.0,179.7811232440892,-139.1446562440892
Assam,Golaghat,2018,41.210625,204627.0,181.59765879098333,-140.38703379098334
Assam,Lakhimpur,2015,27.4,167629.0,178.90879373141183,-151.50879373141183
Assam,Hailakandi,2018,172.69214,204627.0,181.59765879098333,-8.905518790983336
Assam,Lakhimpur,2017,40.178333,195262.0,180.9170484530492,-140.7387154530492
Assam,Sivasagar,2016,35.383839,179632.0,179.7811232440892,-144.3972842440892
Assam,Sivasagar,2015,57.650002,167629.0,178.90879373141183,-121.25879173141183
Assam,Sivasagar,2014,64.0,146425.0,177.3677727377594,-113.3677727377594
Assam,Lakhimpur,2018,33.516365,204627.0,181.59765879098333,-148.08129379098332
Assam,Hailakandi,2017,30.131668,195262.0,180.9170484530492,-150.7853804530492
Assam,Hailakandi,2015,136.0,167629.0,178.90879373141183,-42.90879373141183
Assam,Lakhimpur,2016,40.585697,179632.0,179.7811232440892,-139.1954262440892
Assam,Kokrajhar,2016,27.783825,179632.0,179.7811232440892,-151.9972982440892
Assam,Dibrugarh,2017,14.1825,195262.0,180.9170484530492,-166.7345484530492
Assam,Udalguri,2015,56.822224,167629.0,178.90879373141183,-122.08656973141183
Assam,Udalguri,2016,38.858246,179632.0,179.7811232440892,-140.9228772440892
Assam,Kamrup,2018,53.411335,204627.0,181.59765879098333,-128.18632379098332
Assam,Kamrup,2016,45.487823,179632.0,179.7811232440892,-134.2933002440892
Assam,Kamrup,2015,68.979996,167629.0,178.90879373141183,-109.92879773141183
Assam,Kamrup,2014,87.866669,146425.0,177.3677727377594,-89.5011037377594
Assam,Kamrup Metropolitan,2018,68.742172,204627.0,181.59765879098333,-112.85548679098333
Assam,Kamrup Metropolitan,2017,42.540001,195262.0,180.9170484530492,-138.37704745304922
Assam,Kamrup Metropolitan,2016,85.227615,179632.0,179.7811232440892,-94.5535082440892
Assam,Kamrup Metropolitan,2015,82.671425,167629.0,178.90879373141183,-96.23736873141183
Assam,Kamrup Metropolitan,2014,70.0625,146425.0,177.3677727377594,-107.3052727377594
Assam,Jorhat,2014,48.299999,146425.0,177.3677727377594,-129.0677737377594
Assam,Karimganj,2014,31.5,146425.0,177.3677727377594,-145.8677727377594
Assam,Jorhat,2016,51.763908,179632.0,179.7811232440892,-128.0172152440892
Assam,Jorhat,2018,53.681427,204627.0,181.59765879098333,-127.91623179098333
Assam,Udalguri,2018,25.827858,204627.0,181.59765879098333,-155.76980079098334
Assam,Bongaigaon,2018,40.767502,204627.0,181.59765879098333,-140.83015679098332
Assam,Bongaigaon,2016,29.111223,179632.0,179.7811232440892,-150.6699002440892
Assam,Darrang,2014,45.149998,146425.0,177.3677727377594,-132.21777473775938
Assam,Darrang,2015,52.666668,167629.0,178.90879373141183,-126.24212573141183
Assam,Darrang,2016,64.686943,179632.0,179.7811232440892,-115.0941802440892
Assam,Udalguri,2014,33.34,146425.0,177.3677727377594,-144.0277727377594
Assam,Tinsukia,2014,61.400002,146425.0,177.3677727377594,-115.9677707377594
Assam,Tinsukia,2016,32.63435,179632.0,179.7811232440892,-147.14677324408922
Assam,Tinsukia,2017,29.072001,195262.0,180.9170484530492,-151.8450474530492
Assam,Karimganj,2015,91.580002,167629.0,178.90879373141183,-87.32879173141184
Assam,Karimganj,2016,29.444445,179632.0,179.7811232440892,-150.3366782440892
Assam,Karimganj,2017,40.18,195262.0,180.9170484530492,-140.7370484530492
Assam,Karimganj,2018,123.28722,204627.0,181.59765879098333,-58.310438790983326
Assam,Cachar,2018,121.948,204627.0,181.59765879098333,-59.64965879098334
Assam,Nagaon,2018,52.466,204627.0,181.59765879098333,-129.13165879098332
Assam,Nagaon,2017,63.516666,195262.0,180.9170484530492,-117.4003824530492
Assam,Nagaon,2016,41.309109,179632.0,179.7811232440892,-138.4720142440892
Assam,Nagaon,2015,75.099998,167629.0,178.90879373141183,-103.80879573141183
Assam,Nagaon,2014,61.307693,146425.0,177.3677727377594,-116.0600797377594
Assam,Bongaigaon,2015,49.977779,167629.0,178.90879373141183,-128.93101473141184
Assam,Karbi Anglong,2017,31.905001,195262.0,180.9170484530492,-149.0120474530492
Assam,Karbi Anglong,2015,33.779999,167629.0,178.90879373141183,-145.12879473141183
Assam,Karbi Anglong,2014,52.799999,146425.0,177.3677727377594,-124.5677737377594
Assam,Dibrugarh,2018,44.3125,204627.0,181.59765879098333,-137.28515879098333
