state,district,year,chloride,sdp
Assam,Dhemaji,2018,25.405834,87999.09968396211
Assam,Dhemaji,2017,24.815001,83971.71537719759
Assam,Dhemaji,2016,21.560949,77250.09052778706
Assam,Dhemaji,2015,36.724998,72088.24388239521
Assam,Dhemaji,2014,55.099998,62969.54053582446
Assam,Hailakandi,2015,136.0,72088.24388239521
Assam,Dibrugarh,2018,44.3125,87999.09968396211
Assam,Marigaon,2017,38.997501,83971.71537719759
Assam,Udalguri,2018,25.827858,87999.09968396211
Assam,Golaghat,2018,41.210625,87999.09968396211
Assam,Udalguri,2015,56.822224,72088.24388239521
Assam,Lakhimpur,2017,40.178333,83971.71537719759
Assam,Lakhimpur,2016,40.585697,77250.09052778706
Assam,Lakhimpur,2015,27.4,72088.24388239521
Assam,Lakhimpur,2014,34.530769,62969.54053582446
Assam,Karimganj,2017,40.18,83971.71537719759
Assam,Barpeta,2015,71.966667,72088.24388239521
Assam,Marigaon,2015,68.0,72088.24388239521
Assam,Marigaon,2014,41.599998,62969.54053582446
Assam,Karimganj,2018,123.28722,87999.09968396211
Assam,Tinsukia,2018,63.810001,87999.09968396211
Assam,Bongaigaon,2014,28.35,62969.54053582446
Assam,Bongaigaon,2015,49.977779,72088.24388239521
Assam,Bongaigaon,2016,29.111223,77250.09052778706
Assam,Bongaigaon,2018,40.767502,87999.09968396211
Assam,Tinsukia,2017,29.072001,83971.71537719759
Assam,Tinsukia,2016,32.63435,77250.09052778706
Assam,Tinsukia,2014,61.400002,62969.54053582446
Assam,Barpeta,2018,31.905001,87999.09968396211
Assam,Barpeta,2016,48.056557,77250.09052778706
Assam,Udalguri,2016,38.858246,77250.09052778706
Assam,Karimganj,2016,29.444445,77250.09052778706
Assam,Lakhimpur,2018,33.516365,87999.09968396211
Assam,Karimganj,2014,31.5,62969.54053582446
Assam,Kokrajhar,2014,28.799999,62969.54053582446
Assam,Kokrajhar,2015,87.0,72088.24388239521
Assam,Kokrajhar,2016,27.783825,77250.09052778706
Assam,Udalguri,2014,33.34,62969.54053582446
